id,Player,Team,Pos,GW11,GW12,GW13,GW14,GW15,GW16,Total,Price,Value
1,Sanchez,Arsenal,M,5.01,6,5.27,5.59,7.15,5.43,34.45,11.6,2.97
2,De Bruyne,Man City,M,6.49,4.5,4.31,4.43,3.82,4.57,28.11,10.5,2.68
3,Walcott,Arsenal,M,4.1,4.89,4.21,4.44,5.63,4.31,27.59,8.6,3.21
4,Yaya Toure,Man City,M,5.7,4.35,4.25,4.39,3.85,4.55,27.1,8.5,3.19
5,Ozil,Arsenal,M,4.24,4.73,4.16,4.33,5.37,4.2,27.04,8.5,3.18
6,Costa,Chelsea,F,4.8,3.94,5.32,3.58,5.15,4.11,26.9,11.1,2.42
7,Lukaku,Everton,F,5.2,3.87,4.7,3.85,4.66,3.93,26.22,8.4,3.12
8,Hazard,Chelsea,M,4.41,3.86,5.17,3.53,5.1,4.07,26.15,11.1,2.36
9,Kane,Tottenham,F,5.14,3.08,4.78,3.83,3.7,4.88,25.41,9.2,2.76
10,Rooney,Man Utd,F,3.92,4.54,3.94,3.92,4.77,3.94,25.03,10.2,2.45
11,Cazorla,Arsenal,M,3.8,4.24,3.76,3.9,4.8,3.8,24.29,8.1,3
12,Sterling,Man City,M,5.35,3.88,3.71,3.82,3.34,3.97,24.07,8.9,2.7
13,Mata,Man Utd,M,3.75,4.39,3.77,3.69,4.54,3.76,23.91,8.9,2.69
14,Mane,Southampton,M,4.78,3.93,4.3,2.72,4.55,3.57,23.84,7.9,3.02
15,Eriksen,Tottenham,M,4.87,2.79,4.39,3.52,3.45,4.49,23.51,8.4,2.8
16,Martial,Man Utd,F,3.7,4.24,3.69,3.67,4.47,3.69,23.46,8.3,2.83
17,Koscielny,Arsenal,D,3.41,3.93,3.71,3.68,4.7,3.81,23.25,5.9,3.94
18,Hart,Man City,GK,4.24,3.84,3.72,3.86,3.61,3.9,23.18,5.7,4.07
19,Pelle,Southampton,F,4.61,3.81,4.11,2.77,4.32,3.49,23.11,8.4,2.75
20,Cech,Arsenal,GK,3.59,3.8,3.79,3.76,4.27,3.88,23.1,5.6,4.12
21,Vardy,Leicester,F,3.68,4.77,3.81,3.61,3.42,3.77,23.06,7.2,3.2
22,Silva,Man City,M,1.17,4.04,4.42,4.59,3.99,4.79,22.99,10,2.3
23,Smalling,Man Utd,D,3.49,4.53,3.7,3.31,4.25,3.63,22.91,6.4,3.58
24,de Gea,Man Utd,GK,3.65,4.22,3.75,3.5,3.97,3.68,22.77,5.5,4.14
25,Coutinho,Liverpool,M,3.27,4.44,2.76,4.12,3.76,4.29,22.64,8.1,2.8
26,Bony,Man City,F,6.1,3.69,3.32,3.3,2.85,3.26,22.52,8.3,2.71
27,Benteke,Liverpool,F,3.41,4.39,2.8,4.01,3.68,4.13,22.43,8.2,2.74
28,Payet,West Ham,M,3.68,4.2,3.04,4.34,2.77,4.17,22.2,8.2,2.71
29,Lloris,Tottenham,GK,4.31,3,3.87,3.41,3.55,3.98,22.12,5,4.42
30,Cabaye,Crystal Palace,M,3.4,2.85,4.51,4.37,3.18,3.68,21.99,6.6,3.33
31,Kolarov,Man City,D,4.8,3.59,3.32,3.52,3.02,3.59,21.84,6.1,3.58
32,Bellerin,Arsenal,D,3.29,3.73,3.46,3.41,4.35,3.5,21.73,5.9,3.68
33,Ighalo,Watford,F,4.31,3.33,3.16,3.28,4.12,3.48,21.69,5.4,4.02
34,Kompany,Man City,D,4.3,3.55,3.35,3.59,3.12,3.71,21.63,6.3,3.43
35,Mignolet,Liverpool,GK,3.08,3.89,2.93,3.85,3.61,4.07,21.44,5.1,4.2
36,Ayew,Swansea,M,3.43,3.64,4.44,2.89,4.37,2.66,21.42,7.1,3.02
37,Gomis,Swansea,F,3.36,3.6,4.32,2.93,4.31,2.76,21.29,7,3.04
38,Azpilicueta,Chelsea,D,3.6,3.27,4.23,2.67,4.23,3.08,21.08,6,3.51
39,Gomes,Watford,GK,3.82,3.23,3.31,3.41,3.79,3.43,20.99,4.6,4.56
40,Coleman,Everton,D,4.35,2.78,4.16,2.94,3.79,2.97,20.98,5.9,3.56
41,Fabregas,Chelsea,M,3.66,3.12,4.03,2.82,3.96,3.18,20.76,8.6,2.41
42,Tadic,Southampton,M,4.2,3.41,3.7,2.41,3.88,3.08,20.69,7,2.96
43,Murray,Bournemouth,F,3,4.44,3.14,3.99,2.75,3.22,20.54,5.6,3.67
44,Howard,Everton,GK,3.82,3.13,3.74,3.17,3.51,3.17,20.53,5.1,4.03
45,Ritchie,Bournemouth,M,2.97,4.44,3.13,3.99,2.72,3.24,20.5,5.6,3.66
46,Mahrez,Leicester,M,3.4,4.24,3.36,3.17,2.99,3.26,20.42,6.5,3.14
47,Giroud,Arsenal,F,3.52,3.74,3.08,3.18,3.83,3.02,20.36,8.7,2.34
48,Barkley,Everton,M,4.26,3,3.62,2.94,3.49,2.95,20.25,6.8,2.98
49,Clyne,Liverpool,D,2.32,4.15,1.82,4.01,3.56,4.38,20.24,5.5,3.68
50,Fabianski,Swansea,GK,3.28,3.4,3.84,3.07,3.71,2.91,20.22,5,4.04
51,Deeney,Watford,F,3.78,3.08,2.96,3.06,3.79,3.25,19.93,5.1,3.91
52,Adrian,West Ham,GK,3.3,3.47,2.97,3.65,2.89,3.55,19.83,5,3.97
53,Schmeichel,Leicester,GK,3.32,3.72,3.28,3.19,3.09,3.16,19.76,4.5,4.39
54,Fonte,Southampton,D,4.06,3.32,3.84,1.57,4.12,2.83,19.74,5.4,3.66
55,Pantilimon,Sunderland,GK,3.13,3.37,3.09,3.55,2.92,3.64,19.7,4.8,4.1
56,Puncheon,Crystal Palace,M,3.13,2.6,3.99,3.86,2.84,3.26,19.69,5.8,3.39
57,Skrtel,Liverpool,D,2.22,4.02,1.73,3.9,3.44,4.26,19.58,5.5,3.56
58,van Dijk,Southampton,D,4.22,3.29,3.78,1.5,4.03,2.73,19.55,5.5,3.55
59,Sturridge,Liverpool,F,0.59,4.26,2.76,4.02,3.7,4.19,19.51,10.4,1.88
60,Bertrand,Southampton,D,4.11,3.27,3.74,1.55,3.99,2.74,19.39,5.3,3.66
61,Herrera,Man Utd,M,3.28,3.56,3.02,2.92,3.51,2.93,19.23,6.6,2.91
62,Sigurdsson,Swansea,M,3,3.24,3.92,2.66,3.89,2.48,19.18,7.2,2.66
63,Butland,Stoke,GK,3.55,3.19,3,3.33,2.99,3.12,19.18,4.6,4.17
64,Schweinsteiger,Man Utd,M,3.07,3.51,3.04,2.96,3.56,3.01,19.15,6.6,2.9
65,Willian,Chelsea,M,3.67,2.92,3.62,2.56,3.49,2.84,19.1,6.8,2.81
66,Monreal,Arsenal,D,2.98,3.28,3.04,2.96,3.71,3.05,19.01,5.8,3.28
67,Dier,Tottenham,D,4.54,1.65,3.58,2.67,2.84,3.71,19,5.2,3.65
68,Lens,Sunderland,M,2.98,3.31,2.92,3.55,2.38,3.77,18.91,6.4,2.95
69,Zouma,Chelsea,D,3.5,2.96,3.73,2.33,3.68,2.66,18.86,5.5,3.43
70,Ruddy,Norwich,GK,2.93,3.42,2.89,3.02,3.18,3.42,18.86,4.5,4.19
71,Montero,Swansea,M,3.03,3.19,3.84,2.59,3.79,2.4,18.86,5.7,3.31
72,Milner,Liverpool,M,2.75,3.62,2.38,3.4,3.13,3.54,18.81,6.7,2.81
73,Moreno,Liverpool,D,2.34,3.91,1.67,3.68,3.23,3.96,18.79,4.7,4
74,Bolasie,Crystal Palace,M,2.91,2.48,3.8,3.69,2.74,3.13,18.75,6.2,3.02
75,Rondon,West Brom,F,3.86,2.55,3.04,3.19,3.39,2.67,18.7,6.7,2.79
76,Stones,Everton,D,3.89,2.47,3.71,2.62,3.33,2.63,18.65,5.5,3.39
77,Dann,Crystal Palace,D,2.73,1.93,4.19,4.06,2.47,3.26,18.64,5.1,3.66
78,Vertonghen,Tottenham,D,4.22,1.57,3.53,2.67,2.89,3.72,18.59,5.5,3.38
79,Lamela,Tottenham,M,4.12,2.27,3.37,2.73,2.66,3.38,18.52,6.8,2.72
80,Cahill,Chelsea,D,3.27,2.86,3.67,2.3,3.66,2.66,18.43,6.3,2.93
81,Wijnaldum,Newcastle,M,3.58,2.97,3.53,2.81,2.94,2.51,18.35,6.9,2.66
82,Mertesacker,Arsenal,D,2.57,3.12,2.98,2.93,3.69,3.06,18.34,5.3,3.46
83,Shelvey,Swansea,M,2.97,3.09,3.72,2.51,3.66,2.31,18.27,5.5,3.32
84,Alderweireld,Tottenham,D,4.09,1.55,3.46,2.63,2.86,3.66,18.24,5.2,3.51
85,Depay,Man Utd,M,2.72,3.28,2.89,2.85,3.48,2.93,18.16,8.1,2.24
86,Berahino,West Brom,F,3.82,2.49,2.93,3.06,3.23,2.56,18.11,6.2,2.92
87,Jones,Man Utd,D,2.84,3.58,2.91,2.58,3.3,2.83,18.04,5.2,3.47
88,Stekelenburg,Southampton,GK,3.9,3.07,3.12,2.29,3.05,2.45,17.87,5,3.57
89,Mitrovic,Newcastle,F,3.74,2.92,3.38,2.68,2.76,2.38,17.86,6.2,2.88
90,Mbokani,Norwich,F,2.5,3.44,2.51,2.86,3.01,3.4,17.71,5.7,3.11
91,Rose,Tottenham,D,4.01,1.52,3.37,2.53,2.71,3.57,17.7,5.2,3.4
92,Walker,Tottenham,D,4.06,1.49,3.34,2.53,2.74,3.52,17.68,5,3.54
93,Alli,Tottenham,M,4.16,2.19,3.16,2.56,2.48,3.11,17.66,4.9,3.6
94,Guzan,Aston Villa,GK,2.64,2.8,2.9,3.49,2.87,2.91,17.62,4.5,3.92
95,Sissoko,Newcastle,M,3.43,2.85,3.37,2.7,2.82,2.42,17.59,5.7,3.09
96,Sakho,West Ham,F,3.04,3.28,2.49,3.29,2.29,3.16,17.56,6.6,2.66
97,Schneiderlin,Man Utd,M,2.93,3.22,2.77,2.69,3.19,2.72,17.52,5.2,3.37
98,Terry,Chelsea,D,3.36,2.73,3.43,2.15,3.36,2.45,17.48,6.7,2.61
99,Boruc,Bournemouth,GK,2.55,3.3,2.75,3.16,2.64,2.9,17.3,4.5,3.85
100,Shaqiri,Stoke,M,3.17,2.92,2.56,3.04,2.71,2.89,17.28,6.7,2.58
101,Kouyate,West Ham,M,2.92,3.2,2.42,3.28,2.24,3.15,17.2,5.6,3.07
102,Chamberlain,Arsenal,M,3.01,3.07,2.65,2.67,3.16,2.57,17.14,5.6,3.06
103,Jagielka,Everton,D,0.74,2.73,4.08,2.91,3.72,2.94,17.12,5.4,3.17
104,Fernandinho,Man City,M,3.92,2.81,2.64,2.68,2.39,2.68,17.11,6,2.85
105,Sakho,Liverpool,D,2.12,3.53,1.53,3.35,2.95,3.61,17.09,4.8,3.56
106,Otamendi,Man City,D,4.16,2.86,2.53,2.63,2.24,2.61,17.04,6.5,2.62
107,Gueye,Aston Villa,M,2.57,2.68,2.71,3.54,2.55,2.72,16.78,4.8,3.5
108,Capoue,Watford,M,3.16,2.56,2.53,2.61,3.13,2.72,16.71,4.8,3.48
109,Albrighton,Leicester,M,2.87,3.44,2.73,2.58,2.42,2.63,16.67,5,3.33
110,McCarthy,Everton,M,3.18,2.48,3,2.51,2.92,2.54,16.63,4.8,3.47
111,Aguero,Man City,F,0,1.21,3.07,3.9,3.72,4.55,16.45,13.1,1.26
112,Janmaat,Newcastle,D,3.61,2.59,3.41,2.36,2.61,1.79,16.38,4.9,3.34
113,Pedro,Chelsea,M,0.81,2.56,3.71,2.61,3.67,2.98,16.34,9.1,1.8
114,Cedric,Southampton,D,3.67,2.75,3.1,1.28,3.27,2.24,16.29,5,3.26
115,Arnautovic,Stoke,M,3.04,2.75,2.41,2.84,2.54,2.69,16.27,6,2.71
116,Howson,Norwich,M,2.27,3.17,2.29,2.62,2.78,3.13,16.26,4.9,3.32
117,Redmond,Norwich,M,2.16,3.17,2.26,2.61,2.79,3.19,16.19,5.6,2.89
118,Cresswell,West Ham,D,2.64,3.18,1.85,3.57,1.53,3.37,16.13,5.6,2.88
119,Bojan,Stoke,F,2.91,2.72,2.4,2.8,2.56,2.7,16.1,5.3,3.04
120,Lallana,Liverpool,M,2.74,3.17,1.98,2.79,2.53,2.81,16.02,7.3,2.19
121,Abdi,Watford,M,3.2,2.45,2.39,2.46,2.95,2.54,16,4.7,3.4
122,Noble,West Ham,M,2.72,2.95,2.27,3.02,2.11,2.91,15.99,5.5,2.91
123,Brunt,West Brom,M,3.3,2.25,2.58,2.67,2.85,2.29,15.94,5.2,3.07
124,Fletcher,Sunderland,F,2.67,2.77,2.49,2.88,2.11,3,15.93,5,3.19
125,Darmian,Man Utd,D,2.26,3.08,2.58,2.33,3.01,2.59,15.85,5.8,2.73
126,Brady,Norwich,M,2.24,3.05,2.25,2.54,2.69,3.02,15.8,5.4,2.93
127,Adam,Stoke,M,3.01,2.68,2.33,2.74,2.45,2.59,15.8,5.7,2.77
128,Myhill,West Brom,GK,3.53,2.52,2.53,2.48,2.57,2.16,15.79,4.8,3.29
129,Dembele,Tottenham,M,3.61,2.01,2.8,2.32,2.27,2.77,15.78,5.3,2.98
130,Wanyama,Southampton,M,3.21,2.61,2.79,1.93,2.87,2.34,15.74,4.3,3.66
131,Morgan,Leicester,D,2.66,3.54,2.65,2.38,2.14,2.35,15.71,4.4,3.57
132,Rojo,Man Utd,D,2.53,3.11,2.51,2.22,2.82,2.42,15.61,5.4,2.89
133,Ki Sung-yueng,Swansea,M,2.55,2.63,3.1,2.19,3.05,2.04,15.55,5.2,2.99
134,Fernandez,Swansea,D,2.36,2.76,3.64,1.97,3.42,1.36,15.51,5,3.1
135,Kante,Leicester,M,2.54,3.07,2.55,2.45,2.32,2.5,15.43,5,3.09
136,Moses,West Ham,M,2.61,2.85,2.18,2.91,2.03,2.81,15.38,5.3,2.9
137,Anya,Watford,M,3.09,2.36,2.3,2.36,2.81,2.43,15.35,4.4,3.49
138,Can,Liverpool,M,2.38,2.9,2,2.72,2.51,2.8,15.32,5.3,2.89
139,Toivonen,Sunderland,M,2.13,2.53,2.47,2.96,2.06,3.14,15.28,6.4,2.39
140,Davis,Southampton,M,3,2.52,2.7,1.91,2.81,2.31,15.25,4.8,3.18
141,Huth,Leicester,D,2.6,3.44,2.56,2.3,2.05,2.26,15.2,4.4,3.46
142,Souare,Crystal Palace,D,1.98,1.61,3.46,3.37,2.06,2.72,15.2,4.6,3.3
143,Cathcart,Watford,D,3.01,1.97,2.17,2.43,3.12,2.5,15.19,4.5,3.38
144,Gestede,Aston Villa,F,2.41,2.46,2.44,3.13,2.28,2.44,15.16,5.8,2.61
145,Borini,Sunderland,F,1.87,2.55,2.51,2.93,2.14,3.1,15.1,5.4,2.8
