id,Player,Team,Pos,GW11,GW12,GW13,GW14,GW15,GW16,Total,Price,Value
372,Delph,Man City,M,0,0.36,0.5,0.57,0.57,0.65,2.63,5.4,0.49
373,Wisdom,Norwich,D,0.17,0.55,0.31,0.42,0.53,0.64,2.62,4.3,0.61
374,Juanmi,Southampton,F,0.42,0.42,0.46,0.36,0.5,0.44,2.6,5.4,0.48
375,Paredes,Watford,D,0.69,0.34,0.34,0.36,0.44,0.36,2.53,4.3,0.59
376,Flamini,Arsenal,M,0.53,0.49,0.38,0.35,0.39,0.34,2.48,4.4,0.56
377,MacDonald,Bournemouth,M,0.48,0.53,0.38,0.42,0.32,0.34,2.47,4.3,0.57
378,Grabban,Norwich,F,0.45,0.44,0.34,0.38,0.39,0.42,2.41,4.4,0.55
379,Foster,West Brom,GK,0,0.23,0.4,0.51,0.63,0.63,2.4,4.9,0.49
380,Targett,Southampton,D,0.38,0.39,0.48,0.22,0.53,0.39,2.4,4.1,0.59
381,Wilson,Man Utd,F,0.35,0.42,0.38,0.38,0.45,0.39,2.37,4.7,0.5
382,Lindegaard,West Brom,GK,0.31,0.39,0.42,0.42,0.45,0.38,2.37,4.5,0.53
383,Arteta,Arsenal,M,0,0.54,0.44,0.42,0.47,0.41,2.28,4.7,0.49
384,Besic,Everton,M,0,0.32,0.5,0.46,0.53,0.48,2.28,4.4,0.52
385,Crouch,Stoke,F,0.34,0.36,0.35,0.41,0.39,0.41,2.25,5.6,0.4
386,Okore,Aston Villa,D,0.07,0.28,0.39,0.64,0.41,0.44,2.23,4.4,0.51
387,Kramaric,Leicester,F,0.33,0.42,0.37,0.36,0.36,0.38,2.22,5.5,0.4
388,Aarons,Newcastle,M,0.41,0.34,0.4,0.35,0.37,0.34,2.22,4.6,0.48
389,Obertan,Newcastle,M,0,0.35,0.5,0.43,0.44,0.4,2.12,4.3,0.49
390,Lingard,Man Utd,M,0.34,0.36,0.33,0.32,0.35,0.33,2.03,4.5,0.45
391,Osman,Everton,M,0.4,0.3,0.35,0.31,0.35,0.32,2.03,4.6,0.44
392,Rantie,Bournemouth,F,0.28,0.4,0.32,0.37,0.29,0.32,1.97,4.3,0.46
393,McCarthy,Crystal Palace,GK,0.28,0.28,0.38,0.38,0.31,0.35,1.97,4.1,0.48
394,Mutch,Crystal Palace,M,0.29,0.27,0.36,0.35,0.29,0.33,1.89,4.3,0.44
395,Atsu,Bournemouth,M,0.15,0.36,0.31,0.38,0.3,0.34,1.85,5.1,0.36
396,Lafferty,Norwich,F,0.37,0.35,0.26,0.28,0.28,0.29,1.83,4.5,0.41
397,Oulare,Watford,F,0.37,0.28,0.27,0.28,0.33,0.3,1.83,5.5,0.33
398,Bennett,Bournemouth,D,0.23,0.44,0.28,0.38,0.2,0.3,1.82,4,0.46
399,Jedinak,Crystal Palace,M,0.24,0.25,0.35,0.34,0.29,0.32,1.79,4.7,0.38
400,McNair,Man Utd,D,0,0.25,0.34,0.34,0.45,0.4,1.77,4.7,0.38
401,Bartley,Swansea,D,0.36,0.32,0.38,0.22,0.34,0.16,1.76,4.4,0.4
402,Robles,Everton,GK,0.24,0.26,0.33,0.29,0.32,0.3,1.74,4.4,0.4
403,Mbabu,Newcastle,D,0.33,0.27,0.35,0.27,0.3,0.22,1.74,4.5,0.39
404,Benalouane,Leicester,D,0.27,0.37,0.3,0.27,0.25,0.27,1.74,4.4,0.39
405,Lee Chung-yong,Crystal Palace,M,0.29,0.25,0.32,0.32,0.26,0.29,1.73,4.3,0.4
406,Graham,Sunderland,F,0.2,0.28,0.28,0.32,0.27,0.36,1.72,4.4,0.39
407,Davis K,Southampton,GK,0.25,0.3,0.32,0.24,0.33,0.26,1.71,4.3,0.4
408,Anichebe,West Brom,F,0.3,0.25,0.28,0.29,0.31,0.27,1.7,4.7,0.36
409,Given,Stoke,GK,0.13,0.3,0.3,0.33,0.31,0.32,1.69,4.4,0.38
410,Brown,Sunderland,D,0.27,0.32,0.24,0.35,0.13,0.36,1.67,4.3,0.39
411,Dodoo,Leicester,F,0.24,0.31,0.28,0.28,0.27,0.29,1.67,4.5,0.37
412,Rodriguez,Everton,F,0.27,0.25,0.29,0.27,0.31,0.29,1.67,4.5,0.37
413,Bardsley,Stoke,D,0.29,0.26,0.24,0.31,0.24,0.28,1.62,4.2,0.38
414,Rudd,Norwich,GK,0.19,0.28,0.25,0.27,0.29,0.32,1.61,4,0.4
415,Bogdan,Liverpool,GK,0.2,0.28,0.22,0.3,0.28,0.32,1.6,4.4,0.36
416,Reveillere,Newcastle,F,0,0.25,0.34,0.32,0.34,0.33,1.57,5.4,0.29
417,Ramirez,Southampton,M,0.44,0.26,0.25,0.18,0.23,0.19,1.55,5.3,0.29
418,Reed,Southampton,M,0.2,0.25,0.28,0.23,0.31,0.28,1.55,4.3,0.36
419,Trippier,Tottenham,D,0.35,0.14,0.27,0.22,0.24,0.3,1.52,5.1,0.3
420,Romero,Man Utd,GK,0.18,0.27,0.26,0.25,0.29,0.27,1.51,4.6,0.33
421,Kozak,Aston Villa,F,0.21,0.24,0.24,0.29,0.23,0.25,1.47,4.6,0.32
422,Schwarzer,Leicester,GK,0.21,0.27,0.25,0.24,0.24,0.25,1.46,4,0.36
423,Toure,Liverpool,D,0.25,0.3,0.14,0.26,0.23,0.27,1.45,4.4,0.33
424,Wilshere,Arsenal,M,0,0.21,0.23,0.27,0.37,0.37,1.45,5.8,0.25
425,Iheanacho,Man City,F,0.36,0.23,0.21,0.21,0.19,0.22,1.43,4.9,0.29
426,Caballero,Man City,GK,0.18,0.23,0.24,0.26,0.25,0.28,1.43,4.9,0.29
427,Oviedo,Everton,M,0.2,0.21,0.25,0.23,0.27,0.25,1.4,4.4,0.32
428,Emnes,Swansea,F,0.25,0.23,0.25,0.21,0.25,0.21,1.4,4.3,0.33
429,James,Leicester,M,0,0.18,0.24,0.28,0.31,0.38,1.38,4.5,0.31
430,McGeady,Everton,M,0.22,0.2,0.24,0.22,0.25,0.23,1.37,4.9,0.28
